videoId,quality_ratio,avg_quality,comments
962,0.0,0.255,2
963,0.0,0.243,1
974,0.0,0.273,1
976,0.0,0.4976666666666667,3
980,0.0,0.225,1
982,0.0,0.2806666666666667,6
988,8.4,0.29018719211822663,203
991,0.0,0.30866666666666664,3
992,0.0,0.0,1
993,0.0,0.2925,2
996,33.3,0.461,12
1004,0.0,0.2836666666666667,3
1028,6.2,0.298125,32
1036,0.0,0.24986666666666665,15
1042,0.0,0.30191666666666667,24
1047,0.0,0.255,1
1056,0.0,0.243,4
1060,0.0,0.36,1
1070,53.6,0.5518214285714286,28
1073,0.0,0.257,3
1074,16.3,0.3486142857142857,700
1083,0.0,0.225,1
1084,0.0,0.305,3
1085,0.0,0.225,1
1086,0.0,0.225,1
1099,0.0,0.225,1
1110,50.0,0.4865,2
1116,0.0,0.27569230769230774,39
1117,12.5,0.366,8
1122,0.0,0.225,1
1123,0.0,0.225,1
1129,0.0,0.23820000000000002,10
1134,2.7,0.32235135135135135,37
1136,0.0,0.225,2
1138,0.0,0.225,1
1143,10.0,0.27785,20
1145,0.0,0.225,1
1163,0.0,0.225,3
1164,0.0,0.283,1
1168,2.7,0.26772972972972975,74
1170,0.0,0.24100000000000002,3
1179,0.0,0.318,1
1180,0.0,0.2857142857142857,7
1183,0.0,0.255,1
1184,0.0,0.35255555555555557,18
1185,0.0,0.25575,4
1190,0.0,0.243,1
1191,40.0,0.43740000000000007,5
1196,0.0,0.28300000000000003,2
1198,0.0,0.243,1
1204,50.0,0.47300000000000003,2
1205,5.5,0.3379745958429561,433
1209,0.0,0.2555454545454545,22
1215,16.7,0.3913333333333333,12
1218,0.0,0.225,1
1222,0.0,0.24,2
1224,21.7,0.411695652173913,23
1229,0.0,0.27,7
1231,0.0,0.341,1
1244,40.0,0.4492,5
1247,0.0,0.255,1
1249,0.0,0.20866666666666667,3
1255,0.0,0.255,1
1261,5.6,0.31777777777777777,18
1263,39.1,0.486304347826087,23
1265,8.8,0.33710575342465754,3650
1266,0.0,0.243,1
1270,0.0,0.3,1
1272,0.0,0.295,3
1281,0.0,0.318,1
1286,0.0,0.32999999999999996,2
